Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.5706,0.001355,"[0.6, 0.545, 0.535, 0.5, 0.595, 0.63, 0.61, 0.54, 0.59, 0.575, 0.59, 0.535, 0.495, 0.615, 0.595, 0.52, 0.575, 0.55, 0.62, 0.61, 0.555, 0.585, 0.6, 0.55, 0.55]"
MLPClassifier,all,25,0.6084,0.001755,"[0.67, 0.58, 0.58, 0.575, 0.65, 0.6, 0.65, 0.59, 0.59, 0.59, 0.64, 0.505, 0.53, 0.685, 0.59, 0.58, 0.645, 0.59, 0.65, 0.615, 0.645, 0.655, 0.585, 0.595, 0.625]"
RandomForestClassifier,all,25,0.5516,0.001355,"[0.57, 0.56, 0.55, 0.53, 0.535, 0.57, 0.59, 0.59, 0.53, 0.595, 0.53, 0.47, 0.47, 0.645, 0.53, 0.57, 0.515, 0.555, 0.59, 0.525, 0.545, 0.565, 0.555, 0.555, 0.55]"
SupportVectorMachine(linear),all,25,0.5624,0.001578,"[0.575, 0.555, 0.53, 0.515, 0.585, 0.625, 0.605, 0.53, 0.61, 0.575, 0.595, 0.52, 0.475, 0.6, 0.54, 0.52, 0.575, 0.51, 0.615, 0.56, 0.605, 0.605, 0.575, 0.545, 0.515]"
SupportVectorMachine(poly),all,25,0.53,0.00123,"[0.575, 0.535, 0.535, 0.525, 0.54, 0.56, 0.57, 0.52, 0.51, 0.565, 0.525, 0.46, 0.425, 0.575, 0.515, 0.56, 0.53, 0.485, 0.54, 0.505, 0.56, 0.52, 0.515, 0.535, 0.565]"
SupportVectorMachine(rbf),all,25,0.6002,0.001339,"[0.64, 0.57, 0.58, 0.565, 0.63, 0.62, 0.675, 0.58, 0.59, 0.63, 0.595, 0.55, 0.54, 0.69, 0.585, 0.59, 0.595, 0.575, 0.615, 0.535, 0.615, 0.625, 0.605, 0.62, 0.59]"
SupportVectorMachine(sigmoid),all,25,0.4486,0.001335,"[0.45, 0.43, 0.45, 0.385, 0.44, 0.52, 0.505, 0.38, 0.495, 0.43, 0.45, 0.4, 0.43, 0.45, 0.46, 0.42, 0.51, 0.415, 0.46, 0.48, 0.46, 0.49, 0.45, 0.45, 0.405]"
LogisticRegression,chroma_stft,25,0.229,0.000898,"[0.18, 0.26, 0.215, 0.185, 0.26, 0.25, 0.24, 0.205, 0.265, 0.18, 0.185, 0.235, 0.215, 0.23, 0.22, 0.215, 0.205, 0.255, 0.265, 0.22, 0.235, 0.295, 0.205, 0.25, 0.255]"
MLPClassifier,chroma_stft,25,0.2332,0.001132,"[0.21, 0.275, 0.255, 0.19, 0.305, 0.25, 0.205, 0.215, 0.26, 0.19, 0.175, 0.22, 0.2, 0.22, 0.21, 0.22, 0.22, 0.255, 0.25, 0.21, 0.26, 0.305, 0.215, 0.265, 0.25]"
RandomForestClassifier,chroma_stft,25,0.2196,0.00068,"[0.2, 0.22, 0.215, 0.19, 0.23, 0.23, 0.19, 0.215, 0.24, 0.21, 0.245, 0.245, 0.23, 0.215, 0.22, 0.245, 0.23, 0.285, 0.235, 0.16, 0.175, 0.215, 0.245, 0.185, 0.22]"
SupportVectorMachine(linear),chroma_stft,25,0.232,0.001086,"[0.18, 0.26, 0.23, 0.175, 0.29, 0.25, 0.22, 0.215, 0.265, 0.2, 0.19, 0.24, 0.215, 0.215, 0.225, 0.215, 0.22, 0.265, 0.245, 0.215, 0.24, 0.32, 0.21, 0.27, 0.23]"
SupportVectorMachine(poly),chroma_stft,25,0.1876,0.00054,"[0.15, 0.22, 0.155, 0.215, 0.175, 0.21, 0.185, 0.205, 0.17, 0.2, 0.215, 0.125, 0.18, 0.185, 0.175, 0.195, 0.2, 0.215, 0.165, 0.17, 0.185, 0.18, 0.21, 0.21, 0.195]"
SupportVectorMachine(rbf),chroma_stft,25,0.22,0.000896,"[0.19, 0.24, 0.185, 0.185, 0.29, 0.24, 0.225, 0.185, 0.225, 0.185, 0.19, 0.245, 0.195, 0.195, 0.23, 0.205, 0.23, 0.23, 0.225, 0.21, 0.24, 0.28, 0.19, 0.27, 0.215]"
SupportVectorMachine(sigmoid),chroma_stft,25,0.1626,0.000858,"[0.16, 0.135, 0.14, 0.16, 0.14, 0.16, 0.135, 0.15, 0.23, 0.195, 0.155, 0.235, 0.18, 0.16, 0.125, 0.205, 0.15, 0.155, 0.185, 0.195, 0.14, 0.125, 0.145, 0.145, 0.16]"
LogisticRegression,spectral_centroid,25,0.212,0.00059,"[0.215, 0.24, 0.195, 0.205, 0.265, 0.215, 0.24, 0.205, 0.21, 0.225, 0.245, 0.18, 0.19, 0.205, 0.18, 0.245, 0.215, 0.215, 0.215, 0.225, 0.205, 0.17, 0.165, 0.235, 0.195]"
MLPClassifier,spectral_centroid,25,0.256,0.000686,"[0.25, 0.27, 0.26, 0.26, 0.3, 0.27, 0.29, 0.225, 0.26, 0.235, 0.21, 0.2, 0.24, 0.28, 0.225, 0.295, 0.26, 0.26, 0.225, 0.255, 0.3, 0.27, 0.24, 0.25, 0.27]"
RandomForestClassifier,spectral_centroid,25,0.1624,0.00057,"[0.165, 0.205, 0.19, 0.16, 0.195, 0.175, 0.175, 0.14, 0.195, 0.13, 0.13, 0.13, 0.155, 0.17, 0.15, 0.155, 0.19, 0.18, 0.135, 0.165, 0.17, 0.165, 0.18, 0.11, 0.145]"
SupportVectorMachine(linear),spectral_centroid,25,0.2118,0.000454,"[0.245, 0.23, 0.225, 0.2, 0.26, 0.235, 0.24, 0.2, 0.21, 0.21, 0.225, 0.195, 0.19, 0.19, 0.18, 0.22, 0.22, 0.21, 0.215, 0.22, 0.22, 0.18, 0.175, 0.215, 0.185]"
SupportVectorMachine(poly),spectral_centroid,25,0.1864,0.000905,"[0.215, 0.235, 0.2, 0.195, 0.18, 0.235, 0.185, 0.19, 0.18, 0.15, 0.19, 0.13, 0.17, 0.25, 0.145, 0.165, 0.2, 0.195, 0.18, 0.22, 0.195, 0.155, 0.13, 0.19, 0.18]"
SupportVectorMachine(rbf),spectral_centroid,25,0.2506,0.000587,"[0.255, 0.255, 0.26, 0.255, 0.285, 0.245, 0.265, 0.23, 0.25, 0.22, 0.195, 0.2, 0.235, 0.26, 0.23, 0.285, 0.265, 0.27, 0.23, 0.245, 0.285, 0.285, 0.245, 0.24, 0.275]"
SupportVectorMachine(sigmoid),spectral_centroid,25,0.1168,0.000358,"[0.15, 0.105, 0.145, 0.125, 0.11, 0.13, 0.115, 0.15, 0.095, 0.095, 0.11, 0.11, 0.105, 0.11, 0.08, 0.105, 0.14, 0.13, 0.115, 0.125, 0.135, 0.09, 0.1, 0.105, 0.14]"
LogisticRegression,zero_crossing_rate,25,0.165,0.00039,"[0.19, 0.22, 0.16, 0.175, 0.15, 0.17, 0.17, 0.165, 0.17, 0.145, 0.135, 0.18, 0.135, 0.19, 0.15, 0.175, 0.195, 0.145, 0.155, 0.17, 0.16, 0.17, 0.14, 0.155, 0.155]"
MLPClassifier,zero_crossing_rate,25,0.1754,0.000732,"[0.22, 0.135, 0.165, 0.19, 0.205, 0.155, 0.2, 0.165, 0.175, 0.15, 0.13, 0.175, 0.12, 0.19, 0.145, 0.205, 0.24, 0.18, 0.17, 0.185, 0.19, 0.175, 0.175, 0.17, 0.175]"
RandomForestClassifier,zero_crossing_rate,25,0.1432,0.00049,"[0.15, 0.12, 0.15, 0.115, 0.155, 0.14, 0.165, 0.13, 0.15, 0.135, 0.105, 0.17, 0.09, 0.14, 0.15, 0.13, 0.14, 0.175, 0.185, 0.15, 0.13, 0.135, 0.17, 0.13, 0.17]"
SupportVectorMachine(linear),zero_crossing_rate,25,0.1622,0.000398,"[0.18, 0.175, 0.15, 0.18, 0.16, 0.165, 0.155, 0.155, 0.19, 0.145, 0.12, 0.19, 0.125, 0.165, 0.15, 0.19, 0.205, 0.17, 0.14, 0.16, 0.17, 0.145, 0.165, 0.15, 0.155]"
SupportVectorMachine(poly),zero_crossing_rate,25,0.1268,0.00039,"[0.145, 0.1, 0.115, 0.15, 0.14, 0.15, 0.115, 0.16, 0.135, 0.15, 0.125, 0.115, 0.13, 0.125, 0.105, 0.14, 0.14, 0.1, 0.125, 0.115, 0.155, 0.08, 0.11, 0.135, 0.11]"
SupportVectorMachine(rbf),zero_crossing_rate,25,0.1722,0.000836,"[0.19, 0.145, 0.16, 0.19, 0.195, 0.15, 0.165, 0.16, 0.18, 0.15, 0.105, 0.19, 0.105, 0.175, 0.165, 0.19, 0.245, 0.185, 0.19, 0.19, 0.21, 0.175, 0.165, 0.175, 0.155]"
SupportVectorMachine(sigmoid),zero_crossing_rate,25,0.118,0.000428,"[0.095, 0.13, 0.095, 0.135, 0.11, 0.13, 0.085, 0.095, 0.095, 0.115, 0.115, 0.14, 0.105, 0.145, 0.085, 0.165, 0.1, 0.125, 0.12, 0.11, 0.13, 0.13, 0.155, 0.115, 0.125]"
LogisticRegression,mfcc,25,0.5196,0.001186,"[0.55, 0.505, 0.515, 0.46, 0.555, 0.59, 0.56, 0.505, 0.56, 0.53, 0.535, 0.49, 0.435, 0.555, 0.515, 0.485, 0.53, 0.52, 0.54, 0.525, 0.515, 0.525, 0.525, 0.505, 0.46]"
MLPClassifier,mfcc,25,0.5756,0.001359,"[0.585, 0.575, 0.55, 0.55, 0.635, 0.575, 0.63, 0.53, 0.585, 0.595, 0.585, 0.51, 0.48, 0.625, 0.56, 0.575, 0.595, 0.535, 0.62, 0.555, 0.585, 0.62, 0.56, 0.6, 0.575]"
RandomForestClassifier,mfcc,25,0.5414,0.001343,"[0.545, 0.57, 0.505, 0.535, 0.59, 0.555, 0.57, 0.525, 0.55, 0.585, 0.525, 0.465, 0.435, 0.595, 0.525, 0.545, 0.565, 0.555, 0.53, 0.55, 0.525, 0.56, 0.545, 0.585, 0.5]"
SupportVectorMachine(linear),mfcc,25,0.5234,0.001601,"[0.54, 0.5, 0.545, 0.45, 0.545, 0.58, 0.595, 0.515, 0.56, 0.515, 0.535, 0.48, 0.42, 0.555, 0.52, 0.505, 0.545, 0.495, 0.575, 0.52, 0.505, 0.55, 0.51, 0.555, 0.47]"
SupportVectorMachine(poly),mfcc,25,0.5158,0.000985,"[0.535, 0.555, 0.54, 0.49, 0.535, 0.53, 0.575, 0.485, 0.485, 0.545, 0.495, 0.47, 0.425, 0.555, 0.51, 0.51, 0.495, 0.505, 0.53, 0.505, 0.52, 0.525, 0.5, 0.53, 0.545]"
SupportVectorMachine(rbf),mfcc,25,0.571,0.001254,"[0.62, 0.555, 0.6, 0.535, 0.59, 0.57, 0.635, 0.545, 0.565, 0.58, 0.57, 0.515, 0.495, 0.645, 0.57, 0.57, 0.555, 0.54, 0.58, 0.55, 0.575, 0.6, 0.585, 0.61, 0.52]"
SupportVectorMachine(sigmoid),mfcc,25,0.4224,0.001032,"[0.39, 0.38, 0.415, 0.38, 0.45, 0.45, 0.465, 0.375, 0.485, 0.415, 0.45, 0.365, 0.38, 0.44, 0.42, 0.42, 0.45, 0.405, 0.45, 0.455, 0.415, 0.44, 0.42, 0.455, 0.39]"
